PC,NeuronID,Loading,AbsLoading,RankWithinPC
1,921,0.134100394678021,0.134100394678021,1
1,946,0.133152272589359,0.133152272589359,2
1,846,0.132782946090387,0.132782946090387,3
1,936,0.132524713501986,0.132524713501986,4
1,656,0.1324834102874,0.1324834102874,5
1,696,0.132310036022861,0.132310036022861,6
1,716,0.132271254847787,0.132271254847787,7
1,671,0.13197908240318,0.13197908240318,8
1,1271,0.130749967988501,0.130749967988501,9
1,641,0.130400769466087,0.130400769466087,10
2,21,0.127732065148741,0.127732065148741,1
2,31,0.127341262368633,0.127341262368633,2
2,251,0.127063612242154,0.127063612242154,3
2,91,0.126927109336696,0.126927109336696,4
2,236,0.126885320458879,0.126885320458879,5
2,46,0.125682676534395,0.125682676534395,6
2,141,0.125516841277653,0.125516841277653,7
2,56,0.125153260580937,0.125153260580937,8
2,506,0.124896411879588,0.124896411879588,9
2,156,0.124706102662336,0.124706102662336,10
3,181,0.294070054918017,0.294070054918017,1
3,171,0.27778981066264,0.27778981066264,2
3,211,0.263289241181913,0.263289241181913,3
3,1226,0.237052524742677,0.237052524742677,4
3,1236,0.220415747058451,0.220415747058451,5
3,301,0.218434689138705,0.218434689138705,6
3,191,0.213664175219241,0.213664175219241,7
3,811,0.193152841505275,0.193152841505275,8
3,1221,0.180743306889248,0.180743306889248,9
3,1216,0.169681890757208,0.169681890757208,10
4,181,0.323436697639396,0.323436697639396,1
4,211,0.256251820109463,0.256251820109463,2
4,301,0.241259269165002,0.241259269165002,3
4,191,0.236386582220705,0.236386582220705,4
4,1146,-0.223293432231374,0.223293432231374,5
4,761,-0.209658277231213,0.209658277231213,6
4,1151,-0.205071952272293,0.205071952272293,7
4,801,0.204426611634749,0.204426611634749,8
4,1236,-0.198353071592218,0.198353071592218,9
4,171,0.171715401805801,0.171715401805801,10
5,1146,0.373497644909653,0.373497644909653,1
5,1196,-0.332812288527575,0.332812288527575,2
5,271,-0.263973668687134,0.263973668687134,3
5,1191,-0.254509071098744,0.254509071098744,4
5,1201,-0.219504344717509,0.219504344717509,5
5,761,-0.203268695154292,0.203268695154292,6
5,1216,-0.202113311915683,0.202113311915683,7
5,1236,0.186660665949148,0.186660665949148,8
5,746,0.186457426323788,0.186457426323788,9
5,721,-0.184613852699975,0.184613852699975,10
6,166,0.691879930858512,0.691879930858512,1
6,221,0.670460503272161,0.670460503272161,2
6,226,0.109482302708388,0.109482302708388,3
6,216,0.0885235299383239,0.0885235299383239,4
6,276,0.0652128813770608,0.0652128813770608,5
6,171,-0.0622213409578629,0.0622213409578629,6
6,206,0.0534405942880458,0.0534405942880458,7
6,886,0.0509489787576062,0.0509489787576062,8
